abilities,name,pokedex_number,japanese_name,type1,type2,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,percentage_male,base_egg_steps,base_happiness,weight_kg,capture_rate,classfication,experience_growth,height_m,base_total,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary,stage
"['Damp', 'Water Absorb', 'Unaware']",Wooper,194,Upahウパー,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,5120,70,8.5,255,Water Fish Pokémon,1000000,0.4,210,55,45,45,25,25,15,2,0,0
"['Damp', 'Water Absorb', 'Unaware']",Quagsire,195,Nuohヌオー,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,50,5120,70,75,90,Water Fish Pokémon,1000000,1.4,430,95,85,85,65,65,35,2,0,1
"['Synchronize', 'Magic Bounce']",Espeon,196,Eifieエーフィ,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,88.1,8960,70,26.5,45,Sun Pokémon,1000000,0.9,525,65,65,60,130,95,110,2,0,1
"['Synchronize', 'Inner Focus']",Umbreon,197,Blackyブラッキー,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,88.1,8960,35,27,45,Moonlight Pokémon,1000000,1,525,95,65,110,60,130,65,2,0,1
"['Insomnia', 'Super Luck', 'Prankster']",Murkrow,198,Yamikarasuヤミカラス,dark,flying,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,50,5120,35,2.1,30,Darkness Pokémon,1059860,0.5,405,60,85,42,85,42,91,2,0,0
"['Oblivious', 'Own Tempo', 'Regenerator']",Slowking,199,Yadokingヤドキング,water,psychic,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,50,5120,70,79.5,70,Royal Pokémon,1000000,2,490,95,75,80,100,110,30,2,0,1
['Levitate'],Misdreavus,200,Mumaムウマ,ghost,,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,50,6400,35,1,45,Screech Pokémon,800000,0.7,435,60,60,60,85,85,85,2,0,0
['Levitate'],Unown,201,Unknownアンノーン,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,,10240,70,5,225,Symbol Pokémon,1000000,0.5,336,48,72,48,72,48,48,2,0,0
"['Shadow Tag', 'Telepathy']",Wobbuffet,202,Sonansソーナンス,psychic,,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5120,70,28.5,45,Patient Pokémon,1000000,1.3,405,190,33,58,33,58,33,2,0,1
"['Inner Focus', 'Early Bird', 'Sap Sipper']",Girafarig,203,Kirinrikiキリンリキ,normal,psychic,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,50,5120,70,41.5,60,Long Neck Pokémon,1000000,1.5,455,70,80,65,90,65,85,2,0,0
"['Sturdy', 'Overcoat']",Pineco,204,Kunugidamaクヌギダマ,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,5120,70,7.2,190,Bagworm Pokémon,1000000,0.6,290,50,65,90,35,35,15,2,0,0
"['Sturdy', 'Overcoat']",Forretress,205,Foretosフォレトス,bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,5120,70,125.8,75,Bagworm Pokémon,1000000,1.2,465,75,90,140,60,60,40,2,0,1
"['Serene Grace', 'Run Away', 'Rattled']",Dunsparce,206,Nokocchiノコッチ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,14,190,Land Snake Pokémon,1000000,1.5,415,100,70,70,65,65,45,2,0,0
"['Hyper Cutter', 'Sand Veil', 'Immunity']",Gligar,207,Gligerグライガー,ground,flying,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,50,5120,70,64.8,60,Flyscorpion Pokémon,1059860,1.1,430,65,75,105,35,65,85,2,0,0
"['Rock Head', 'Sturdy', 'Sheer Force']",Steelix,208,Haganeilハガネール,steel,ground,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,50,6400,70,400,25,Iron Snake Pokémon,1000000,9.2,610,75,125,230,55,95,30,2,0,1
"['Intimidate', 'Run Away', 'Rattled']",Snubbull,209,Buluブルー,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,5120,70,7.8,190,Fairy Pokémon,800000,0.6,300,60,80,50,40,40,30,2,0,0
"['Intimidate', 'Quick Feet', 'Rattled']",Granbull,210,Granbuluグランブル,fairy,,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,24.6,5120,70,48.7,75,Fairy Pokémon,800000,1.4,450,90,120,75,60,60,45,2,0,1
"['Poison Point', 'Swift Swim', 'Intimidate']",Qwilfish,211,Harysenハリーセン,water,poison,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,50,5120,70,3.9,45,Balloon Pokémon,1000000,0.5,440,65,95,85,55,55,85,2,0,0
"['Swarm', 'Technician', 'Light Metal']",Scizor,212,Hassamハッサム,bug,steel,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,50,6400,70,118,25,Pincer Pokémon,1000000,1.8,600,70,150,140,65,100,75,2,0,1
"['Sturdy', 'Gluttony', 'Contrary']",Shuckle,213,Tsubotsuboツボツボ,bug,rock,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,50,5120,70,20.5,190,Mold Pokémon,1059860,0.6,505,20,10,230,10,230,5,2,0,0
"['Swarm', 'Guts', 'Moxie']",Heracross,214,Heracrosヘラクロス,bug,fighting,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,50,6400,70,54,45,Singlehorn Pokémon,1250000,1.5,600,80,185,115,40,105,75,2,0,0
"['Inner Focus', 'Keen Eye', 'Pickpocket']",Sneasel,215,Nyulaニューラ,dark,ice,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,50,5120,35,28,60,Sharp Claw Pokémon,1059860,0.9,430,55,95,55,35,75,115,2,0,0
"['Pickup', 'Quick Feet', 'Honey Gather']",Teddiursa,216,Himegumaヒメグマ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,8.8,120,Little Bear Pokémon,1000000,0.6,330,60,80,50,50,50,40,2,0,0
"['Guts', 'Quick Feet', 'Unnerve']",Ursaring,217,Ringumaリングマ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,125.8,60,Hibernator Pokémon,1000000,1.8,500,90,130,75,75,75,55,2,0,1
"['Magma Armor', 'Flame Body', 'Weak Armor']",Slugma,218,Magmagマグマッグ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,50,5120,70,35,190,Lava Pokémon,1000000,0.7,250,40,40,40,70,40,20,2,0,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",Magcargo,219,Magcargotマグカルゴ,fire,rock,0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,55,75,Lava Pokémon,1000000,0.8,430,60,50,120,90,80,30,2,0,1
"['Oblivious', 'Snow Cloak', 'Thick Fat']",Swinub,220,Urimooウリムー,ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,6.5,225,Pig Pokémon,1250000,0.4,250,50,50,40,30,30,50,2,0,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']",Piloswine,221,Inomooイノムー,ice,ground,1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,55.8,75,Swine Pokémon,1250000,1.1,450,100,100,80,60,60,50,2,0,1
"['Hustle', 'Natural Cure', 'Regenerator']",Corsola,222,Sunnygoサニーゴ,water,rock,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,24.6,5120,70,5,60,Coral Pokémon,800000,0.6,410,65,55,95,65,95,35,2,0,0
"['Hustle', 'Sniper', 'Moody']",Remoraid,223,Teppouoテッポウオ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,12,190,Jet Pokémon,1000000,0.6,300,35,65,35,65,35,65,2,0,0
"['Suction Cups', 'Sniper', 'Moody']",Octillery,224,Okutankオクタン,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,50,5120,70,28.5,75,Jet Pokémon,1000000,0.9,480,75,105,75,105,75,45,2,0,1
"['Vital Spirit', 'Hustle', 'Insomnia']",Delibird,225,Delibirdデリバード,ice,flying,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,50,5120,70,16,45,Delivery Pokémon,800000,0.9,330,45,55,45,65,45,75,2,0,0
"['Swift Swim', 'Water Absorb', 'Water Veil']",Mantine,226,Mantainマンタイン,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,6400,70,220,25,Kite Pokémon,1250000,2.1,485,85,40,70,80,140,70,2,0,1
"['Keen Eye', 'Sturdy', 'Weak Armor']",Skarmory,227,Airmdエアームド,steel,flying,0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,50,6400,70,50.5,25,Armor Bird Pokémon,1250000,1.7,465,65,80,140,40,70,70,2,0,0
"['Early Bird', 'Flash Fire', 'Unnerve']",Houndour,228,Delvilデルビル,dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,5120,35,10.8,120,Dark Pokémon,1250000,0.6,330,45,60,30,80,50,65,2,0,0
"['Early Bird', 'Flash Fire', 'Unnerve']",Houndoom,229,Hellgarヘルガー,dark,fire,1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,50,5120,35,35,45,Dark Pokémon,1250000,1.4,600,75,90,90,140,90,115,2,0,1
"['Swift Swim', 'Sniper', 'Damp']",Kingdra,230,Kingdraキングドラ,water,dragon,1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,50,5120,70,152,45,Dragon Pokémon,1000000,1.8,540,75,95,95,95,95,85,2,0,2
"['Pickup', 'Sand Veil']",Phanpy,231,Gomazouゴマゾウ,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,33.5,120,Long Nose Pokémon,1000000,0.5,330,90,60,60,40,40,40,2,0,0
"['Sturdy', 'Sand Veil']",Donphan,232,Donfanドンファン,ground,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,5120,70,120,60,Armor Pokémon,1000000,1.1,500,90,120,120,60,60,50,2,0,1
"['Trace', 'Download', 'Analytic']",Porygon2,233,Porygon2ポリゴン２,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,,5120,70,32.5,45,Virtual Pokémon,1000000,0.6,515,85,80,90,105,95,60,2,0,1
"['Intimidate', 'Frisk', 'Sap Sipper']",Stantler,234,Odoshishiオドシシ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,71.2,45,Big Horn Pokémon,1250000,1.4,465,73,95,62,85,65,85,2,0,0
"['Own Tempo', 'Technician', 'Moody']",Smeargle,235,Dobleドーブル,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,58,45,Painter Pokémon,800000,1.2,250,55,20,35,20,45,75,2,0,0
"['Guts', 'Steadfast', 'Vital Spirit']",Tyrogue,236,Balkieバルキー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,6400,70,21,75,Scuffle Pokémon,1000000,0.7,210,35,35,35,35,35,35,2,0,0
"['Intimidate', 'Technician', 'Steadfast']",Hitmontop,237,Kapoererカポエラー,fighting,,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,100,6400,70,48,45,Handstand Pokémon,1000000,1.4,455,50,95,95,35,110,70,2,0,1
"['Oblivious', 'Forewarn', 'Hydration']",Smoochum,238,Muchulムチュール,ice,psychic,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,0,6400,70,6,45,Kiss Pokémon,1000000,0.4,305,45,30,15,85,65,65,2,0,0
"['Static', 'Vital Spirit']",Elekid,239,Elekidエレキッド,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75.4,6400,70,23.5,45,Electric Pokémon,1000000,0.6,360,45,63,37,65,55,95,2,0,0
"['Flame Body', 'Vital Spirit']",Magby,240,Bubyブビィ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75.4,6400,70,21.4,45,Live Coal Pokémon,1000000,0.7,365,45,75,37,70,55,83,2,0,0
"['Thick Fat', 'Scrappy', 'Sap Sipper']",Miltank,241,Miltankミルタンク,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,5120,70,75.5,45,Milk Cow Pokémon,1250000,1.2,490,95,80,105,40,70,100,2,0,0
"['Natural Cure', 'Serene Grace', 'Healer']",Blissey,242,Happinasハピナス,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,0,10240,140,46.8,30,Happiness Pokémon,800000,1.5,540,255,10,10,75,135,55,2,0,2
"['Pressure', 'Inner Focus']",Raikou,243,Raikouライコウ,electric,,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,,20480,35,178,3,Thunder Pokémon,1250000,1.9,580,90,85,75,115,100,115,2,1,0
"['Pressure', 'Inner Focus']",Entei,244,Enteiエンテイ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,,20480,35,198,3,Volcano Pokémon,1250000,2.1,580,115,115,85,90,75,100,2,1,0
"['Pressure', 'Inner Focus']",Suicune,245,Suicuneスイクン,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,,20480,35,187,3,Aurora Pokémon,1250000,2,580,100,75,115,90,115,85,2,1,0
"['Guts', 'Sand Veil']",Larvitar,246,Yogirasヨーギラス,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,10240,35,72,45,Rock Skin Pokémon,1250000,0.6,300,50,64,50,45,50,41,2,0,0
['Shed Skin'],Pupitar,247,Sanagirasサナギラス,rock,ground,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,50,10240,35,152,45,Hard Shell Pokémon,1250000,1.2,410,70,84,70,65,70,51,2,0,1
"['Sand Stream', 'Unnerve']",Tyranitar,248,Bangirasバンギラス,rock,dark,2,0.5,1,1,2,4,0.5,0.5,0.5,2,2,1,0.5,0.5,0,1,2,2,50,10240,35,202,45,Armor Pokémon,1250000,2,700,100,164,150,95,120,71,2,0,2
"['Pressure', 'Multiscale']",Lugia,249,Lugiaルギア,psychic,flying,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,,30720,0,216,3,Diving Pokémon,1250000,5.2,680,106,90,130,90,154,110,2,1,0
"['Pressure', 'Regenerator']",Ho-Oh,250,Hououホウオウ,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,,30720,0,199,3,Rainbow Pokémon,1250000,3.8,680,106,130,90,110,154,90,2,1,0
['Natural Cure'],Celebi,251,Celebiセレビィ,psychic,grass,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,,30720,100,5,45,Time Travel Pokémon,1059860,0.6,600,100,100,100,100,100,100,2,1,0
"['Overgrow', 'Unburden']",Treecko,252,Kimoriキモリ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,5,45,Wood Gecko Pokémon,1059860,0.5,310,40,45,35,65,55,70,3,0,0
"['Overgrow', 'Unburden']",Grovyle,253,Juptileジュプトル,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,21.6,45,Wood Gecko Pokémon,1059860,0.9,405,50,65,45,85,65,95,3,0,1
"['Overgrow', 'Unburden']",Sceptile,254,Jukainジュカイン,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,88.1,5120,70,52.2,45,Forest Pokémon,1059860,1.7,630,70,110,75,145,85,145,3,0,2
"['Blaze', 'Speed Boost']",Torchic,255,Achamoアチャモ,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,88.1,5120,70,2.5,45,Chick Pokémon,1059860,0.4,310,45,60,40,70,50,45,3,0,0
"['Blaze', 'Speed Boost']",Combusken,256,Wakasyamoワカシャモ,fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,88.1,5120,70,19.5,45,Young Fowl Pokémon,1059860,0.9,405,60,85,60,85,60,55,3,0,1
"['Blaze', 'Speed Boost']",Blaziken,257,Bursyamoバシャーモ,fire,fighting,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,88.1,5120,70,52,45,Blaze Pokémon,1059860,1.9,630,80,160,80,130,80,100,3,0,2
"['Torrent', 'Damp']",Mudkip,258,Mizugorouミズゴロウ,water,,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,88.1,5120,70,7.6,45,Mud Fish Pokémon,1059860,0.4,310,50,70,50,50,50,40,3,0,0
"['Torrent', 'Damp']",Marshtomp,259,Numacrawヌマクロー,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,88.1,5120,70,28,45,Mud Fish Pokémon,1059860,0.7,405,70,85,70,60,70,50,3,0,1
"['Torrent', 'Damp']",Swampert,260,Laglargeラグラージ,water,ground,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,88.1,5120,70,81.9,45,Mud Fish Pokémon,1059860,1.5,635,100,150,110,95,110,70,3,0,2
"['Run Away', 'Quick Feet', 'Rattled']",Poochyena,261,Pochienaポチエナ,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,3840,70,13.6,255,Bite Pokémon,1000000,0.5,220,35,55,35,30,30,35,3,0,0
"['Intimidate', 'Quick Feet', 'Moxie']",Mightyena,262,Graenaグラエナ,dark,,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,50,3840,70,37,127,Bite Pokémon,1000000,1,420,70,90,70,60,60,70,3,0,1
"['Pickup', 'Gluttony', 'Quick Feet']",Zigzagoon,263,Jiguzagumaジグザグマ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,17.5,255,Tiny Racoon Pokémon,1000000,0.4,240,38,30,41,30,41,60,3,0,0
"['Pickup', 'Gluttony', 'Quick Feet']",Linoone,264,Massugumaマッスグマ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,32.5,90,Rush Pokémon,1000000,0.5,420,78,70,61,50,61,100,3,0,1
"['Shield Dust', 'Run Away']",Wurmple,265,Kemussoケムッソ,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,3840,70,3.6,255,Worm Pokémon,1000000,0.3,195,45,45,35,20,30,20,3,0,0
['Shed Skin'],Silcoon,266,Karasalisカラサリス,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,3840,70,10,120,Cocoon Pokémon,1000000,0.6,205,50,35,55,25,25,15,3,0,1
"['Swarm', 'Rivalry']",Beautifly,267,Agehuntアゲハント,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,28.4,45,Butterfly Pokémon,1000000,1,395,60,70,50,100,50,65,3,0,2
['Shed Skin'],Cascoon,268,Mayuldマユルド,bug,,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,3840,70,11.5,120,Cocoon Pokémon,1000000,0.7,205,50,35,55,25,25,15,3,0,1
"['Shield Dust', 'Compoundeyes']",Dustox,269,Dokucaleドクケイル,bug,poison,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,31.6,45,Poison Moth Pokémon,1000000,1.2,385,60,50,70,50,90,65,3,0,2
"['Swift Swim', 'Rain Dish', 'Own Tempo']",Lotad,270,Hassbohハスボー,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,2.6,255,Water Weed Pokémon,1059860,0.5,220,40,30,30,40,50,30,3,0,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']",Lombre,271,Hasubreroハスブレロ,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,32.5,120,Jolly Pokémon,1059860,1.2,340,60,50,50,60,70,50,3,0,1
"['Swift Swim', 'Rain Dish', 'Own Tempo']",Ludicolo,272,Runpappaルンパッパ,water,grass,2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,55,45,Carefree Pokémon,1059860,1.5,480,80,70,70,90,100,70,3,0,2
"['Chlorophyll', 'Early Bird', 'Pickpocket']",Seedot,273,Tanebohタネボー,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,3840,70,4,255,Acorn Pokémon,1059860,0.5,220,40,40,50,30,30,30,3,0,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",Nuzleaf,274,Konohanaコノハナ,grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,50,3840,70,28,120,Wily Pokémon,1059860,1,340,70,70,40,60,40,60,3,0,1
"['Chlorophyll', 'Early Bird', 'Pickpocket']",Shiftry,275,Dirtengダーテング,grass,dark,4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,50,3840,70,59.6,45,Wickid Pokémon,1059860,1.3,480,90,100,60,90,60,80,3,0,2
"['Guts', 'Scrappy']",Taillow,276,Subameスバメ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,2.3,200,TinySwallow Pokémon,1059860,0.3,270,40,55,30,30,30,85,3,0,0
"['Guts', 'Scrappy']",Swellow,277,Ohsubameオオスバメ,normal,flying,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,50,3840,70,19.8,45,Swallow Pokémon,1059860,0.7,455,60,85,60,75,50,125,3,0,1
"['Keen Eye', 'Hydration', 'Rain Dish']",Wingull,278,Camomeキャモメ,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,5120,70,9.5,190,Seagull Pokémon,1000000,0.6,270,40,30,30,55,30,85,3,0,0
"['Keen Eye', 'Drizzle', 'Rain Dish']",Pelipper,279,Pelipperペリッパー,water,flying,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,5120,70,28,45,Water Bird Pokémon,1000000,1.2,440,60,50,100,95,70,65,3,0,1
"['Synchronize', 'Trace', 'Telepathy']",Ralts,280,Raltsラルトス,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,5120,35,6.6,235,Feeling Pokémon,1250000,0.4,198,28,25,25,45,35,40,3,0,0
"['Synchronize', 'Trace', 'Telepathy']",Kirlia,281,Kirliaキルリア,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,5120,35,20.2,120,Emotion Pokémon,1250000,0.8,278,38,35,35,65,55,50,3,0,1
"['Synchronize', 'Trace', 'Telepathy']",Gardevoir,282,Sirnightサーナイト,psychic,fairy,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,50,5120,35,48.4,45,Embrace Pokémon,1250000,1.6,618,68,85,65,165,135,100,3,0,2
"['Swift Swim', 'Rain Dish']",Surskit,283,Ametamaアメタマ,bug,water,1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,50,3840,70,1.7,200,Pond Skater Pokémon,1000000,0.5,269,40,30,32,50,52,65,3,0,0
"['Intimidate', 'Unnerve']",Masquerain,284,Amemothアメモース,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,3.6,75,Eyeball Pokémon,1000000,0.8,454,70,60,62,100,82,80,3,0,1
"['Effect Spore', 'Poison Heal', 'Quick Feet']",Shroomish,285,Kinococoキノココ,grass,,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,50,3840,70,4.5,255,Mushroom Pokémon,1640000,0.4,295,60,40,60,40,60,35,3,0,0
"['Effect Spore', 'Poison Heal', 'Technician']",Breloom,286,Kinogassaキノガッサ,grass,fighting,1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,50,3840,70,39.2,90,Mushroom Pokémon,1640000,1.2,460,60,130,80,60,60,70,3,0,1
['Truant'],Slakoth,287,Namakeroナマケロ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,24,255,Slacker Pokémon,1250000,0.8,280,60,60,60,35,35,30,3,0,0
['Vital Spirit'],Vigoroth,288,Yarukimonoヤルキモノ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,46.5,120,Wild Monkey Pokémon,1250000,1.4,440,80,80,80,55,55,90,3,0,1
['Truant'],Slaking,289,Kekkingケッキング,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,3840,70,130.5,45,Lazy Pokémon,1250000,2,670,150,160,100,95,65,100,3,0,2
"['Compoundeyes', 'Run Away']",Nincada,290,Tutininツチニン,bug,ground,1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,50,3840,70,5.5,255,Trainee Pokémon,600000,0.5,266,31,45,90,30,30,40,3,0,0
"['Speed Boost', 'Infiltrator']",Ninjask,291,Tekkaninテッカニン,bug,flying,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,50,3840,70,12,120,Ninja Pokémon,600000,0.8,456,61,90,45,50,50,160,3,0,1
['Wonder Guard'],Shedinja,292,Nukeninヌケニン,bug,ghost,0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,,3840,70,1.2,45,Shed Pokémon,600000,0.8,236,1,90,45,30,30,40,3,0,1
"['Soundproof', 'Rattled']",Whismur,293,Gonyonyoゴニョニョ,normal,,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,50,5120,70,16.3,190,Whisper Pokémon,1059860,0.6,240,64,51,23,51,23,28,3,0,0
